,decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income
193,0.0,0,1,0,45.833332,0,840000000
194,0.0,1,0,0,46.25,0,375000000
196,0.0,0,1,0,37.583332,1,65000000
197,0.0,0,1,0,55.0,1,180000000
198,0.0,0,1,0,43.666668,1,60000000
200,0.0,0,0,1,36.916668,1,60000000
201,0.0,0,0,1,44.333332,0,60000000
202,1.0,0,0,1,42.75,0,60000000
203,0.0,1,0,0,40.916668,0,60000000
204,0.0,1,0,0,36.166668,1,60000000
205,0.0,1,0,0,35.666668,0,60000000
207,0.0,1,0,0,57.25,1,60000000
208,1.0,0,0,1,48.75,0,600000000
210,0.0,1,0,0,30.916666,0,60000000
211,0.0,0,0,1,33.333332,0,600000000
213,0.0,0,1,0,44.25,0,60000000
214,0.0,0,1,0,53.416668,0,60000000
216,0.0,1,0,0,43.25,1,60000000
218,0.0,0,0,1,40.25,0,60000000
220,0.0,1,0,0,37.416668,0,306000000
222,1.0,0,1,0,52.666668,0,60000000
223,0.0,1,0,0,36.0,0,60000000
224,1.0,1,0,0,47.75,0,60000000
228,0.0,0,1,0,43.75,0,720000000
232,0.0,0,0,1,37.0,0,60000000
233,0.0,1,0,0,45.083332,0,60000000
234,0.0,0,1,0,49.583332,0,306000000
236,0.0,0,1,0,60.5,0,60000000
238,1.0,1,0,0,55.166668,0,780000000
239,0.0,0,1,0,65.916664,1,60000000
240,0.0,1,0,0,48.75,0,150000000
243,0.0,0,1,0,40.5,0,25000000
245,0.0,0,0,1,32.583332,0,300000000
246,0.0,0,0,1,38.5,0,351000000
248,0.0,0,1,0,50.333332,0,60000000
253,0.0,1,0,0,49.0,0,60000000
254,0.0,0,1,0,50.083332,0,60000000
255,0.0,1,0,0,37.666668,0,529000000
257,1.0,1,0,0,33.166668,0,1000000000
258,1.0,0,0,1,38.083332,1,180000000
262,0.0,0,0,1,51.5,0,345000000
264,0.0,1,0,0,37.666668,0,144000000
265,0.0,0,1,0,51.666668,0,65000000
267,0.0,1,0,0,50.166668,0,300000000
269,0.0,0,0,1,49.916668,0,60000000
270,0.0,1,0,0,37.25,0,180000000
271,1.0,0,1,0,50.333332,0,60000000
272,1.0,0,1,0,59.333332,0,25000000
273,1.0,0,0,1,52.333332,0,25000000
274,0.0,0,1,0,34.333332,1,60000000
275,1.0,1,0,0,44.5,0,60000000
276,1.0,1,0,0,52.166668,0,25000000
279,0.0,0,1,0,48.166668,0,500000000
280,0.0,0,0,1,45.0,0,60000000
282,0.0,1,0,0,35.5,0,60000000
283,0.0,0,1,0,41.75,0,180000000
284,0.0,0,0,1,54.916668,1,600000000
285,0.0,1,0,0,45.666668,0,60000000
286,0.0,1,0,0,58.083332,0,500000000
287,0.0,0,0,1,33.5,0,400000000
288,0.0,0,0,1,42.666668,0,510000000
290,0.0,1,0,0,43.75,0,60000000
293,0.0,0,1,0,38.833332,0,425000000
294,0.0,0,0,1,54.083332,0,280000000
295,0.0,1,0,0,32.083332,0,25000000
300,0.0,1,0,0,44.666668,0,60000000
301,0.0,0,1,0,43.0,0,180000000
303,0.0,0,1,0,51.75,0,180000000
304,0.0,1,0,0,48.916668,0,25000000
305,0.0,0,0,1,37.416668,1,218000000
310,1.0,0,0,1,51.75,0,720000000
313,1.0,1,0,0,44.0,0,480000000
314,0.0,0,0,1,45.083332,0,60000000
315,1.0,1,0,0,49.5,1,60000000
316,0.0,1,0,0,48.166668,0,730000000
317,0.0,0,0,1,48.166668,0,400000000
318,0.0,0,1,0,34.666668,0,411000000
320,1.0,0,0,1,35.0,0,60000000
321,0.0,0,0,1,31.166666,0,160000000
322,0.0,0,1,0,40.75,0,900000000
324,0.0,1,0,0,46.25,0,450000000
325,0.0,0,1,0,46.666668,0,339000000
326,0.0,1,0,0,55.583332,0,421000000
327,1.0,1,0,0,63.75,0,1000000000
328,1.0,0,0,1,43.5,0,300000000
329,0.0,0,1,0,54.916668,0,376000000
330,1.0,1,0,0,54.833332,0,60000000
331,1.0,0,1,0,37.583332,1,60000000
336,0.0,1,0,0,64.666664,0,60000000
337,0.0,1,0,0,41.416668,0,60000000
341,0.0,0,0,1,48.583332,0,60000000
342,0.0,0,1,0,43.083332,0,25000000
344,0.0,0,0,1,44.916668,0,60000000
347,0.0,0,0,1,38.25,0,900000000
349,0.0,0,1,0,48.5,0,260000000
351,1.0,1,0,0,30.916666,0,60000000
353,0.0,0,1,0,57.833332,0,60000000
354,1.0,1,0,0,56.833332,0,1000000000
355,0.0,0,0,1,37.5,0,60000000
358,0.0,0,0,1,40.666668,0,500000000
359,0.0,1,0,0,55.833332,0,60000000
360,0.0,0,1,0,49.083332,1,300000000
362,0.0,1,0,0,48.583332,0,60000000
363,1.0,1,0,0,56.333332,1,1000000000
365,1.0,0,1,0,59.833332,0,1000000000
366,0.0,0,1,0,57.5,1,60000000
369,1.0,0,1,0,60.833332,1,300000000
370,0.0,1,0,0,37.0,0,60000000
371,0.0,0,0,1,52.166668,0,60000000
372,0.0,1,0,0,55.916668,0,60000000
374,0.0,0,0,1,61.833332,0,60000000
375,0.0,0,0,1,51.916668,1,60000000
376,1.0,1,0,0,48.0,0,60000000
377,1.0,0,1,0,53.0,0,60000000
378,0.0,1,0,0,42.0,1,60000000
380,1.0,1,0,0,35.916668,0,300000000
384,0.0,1,0,0,47.083332,0,180000000
385,0.0,0,1,0,44.166668,0,60000000
386,1.0,0,1,0,61.333332,1,3000000000
389,0.0,0,1,0,49.083332,0,60000000
391,1.0,0,0,1,47.0,0,60000000
394,0.0,0,1,0,45.916668,0,60000000
395,0.0,1,0,0,42.0,1,60000000
396,0.0,1,0,0,51.25,1,60000000
397,0.0,0,0,1,42.083332,0,60000000
398,0.0,0,0,1,50.5,0,60000000
399,0.0,1,0,0,53.583332,0,60000000
401,0.0,1,0,0,40.166668,1,360000000
402,0.0,1,0,0,40.666668,0,1200000000
403,0.0,1,0,0,47.75,0,60000000
405,0.0,1,0,0,42.916668,1,60000000
406,1.0,0,1,0,45.083332,0,60000000
407,0.0,1,0,0,53.5,1,60000000
408,1.0,0,0,1,40.0,1,60000000
409,0.0,0,1,0,33.75,0,260000000
410,0.0,0,1,0,46.0,0,60000000
412,0.0,0,0,1,53.916668,0,60000000
413,0.0,0,1,0,50.25,1,60000000
415,0.0,0,0,1,51.833332,0,510000000
416,0.0,0,1,0,43.25,0,800000000
417,1.0,0,1,0,36.333332,0,1000000000
419,0.0,0,1,0,67.583336,1,72000000
420,0.0,0,1,0,66.083336,0,60000000
424,0.0,1,0,0,60.166668,0,400000000
426,1.0,0,1,0,54.166668,0,1000000000
427,1.0,0,0,1,46.833332,1,500000000
428,1.0,0,1,0,49.5,0,2400000000
429,0.0,0,1,0,47.833332,0,60000000
430,0.0,0,0,1,62.333332,0,60000000
431,1.0,0,1,0,64.666664,0,1000000000
432,0.0,0,0,1,38.416668,0,60000000
433,0.0,0,0,1,48.666668,0,500000000
434,0.0,0,1,0,46.333332,0,60000000
435,0.0,0,0,1,34.666668,0,60000000
436,0.0,1,0,0,34.583332,0,60000000
437,1.0,0,1,0,47.166668,0,60000000
438,1.0,0,1,0,33.083332,0,60000000
439,0.0,1,0,0,54.333332,0,60000000
445,0.0,1,0,0,64.25,1,250000000
446,0.0,1,0,0,44.083332,0,336000000
448,0.0,1,0,0,67.25,0,600000000
450,0.0,1,0,0,49.166668,0,1000000000
451,0.0,0,1,0,71.5,0,500000000
453,0.0,0,1,0,52.25,0,250000000
455,0.0,0,0,1,59.666668,0,60000000
456,0.0,0,0,1,47.333332,1,300000000
457,0.0,0,0,1,54.666668,0,60000000
458,0.0,0,0,1,53.916668,1,455000000
459,0.0,1,0,0,44.333332,0,195000000
460,0.0,0,0,1,42.333332,0,60000000
464,0.0,0,1,0,36.583332,1,270000000
465,0.0,1,0,0,50.916668,0,521000000
466,1.0,0,0,1,46.5,0,600000000
468,1.0,0,1,0,64.416664,0,1200000000
472,0.0,0,0,1,40.0,0,60000000
474,1.0,0,1,0,45.75,0,360000000
475,0.0,0,1,0,37.0,0,60000000
477,0.0,0,0,1,30.916666,1,325000000
478,0.0,0,1,0,50.166668,0,60000000
481,0.0,0,0,1,40.083332,0,259000000
482,0.0,0,1,0,30.583334,0,60000000
483,0.0,0,0,1,47.166668,0,60000000
484,0.0,0,1,0,58.333332,0,600000000
485,0.0,0,1,0,41.0,1,60000000
486,1.0,0,1,0,48.833332,0,60000000
488,1.0,0,1,0,47.833332,0,60000000
489,1.0,0,0,1,56.5,0,60000000
492,0.0,0,1,0,36.75,0,400000000
496,0.0,0,0,1,41.75,1,60000000
497,0.0,1,0,0,46.833332,0,350000000
498,0.0,1,0,0,38.166668,0,60000000
499,1.0,0,0,1,40.916668,0,60000000
500,0.0,1,0,0,30.75,0,238000000
501,0.0,0,0,1,39.5,0,240000000
503,0.0,0,0,1,53.666668,1,400000000
504,0.0,0,0,1,46.833332,1,500000000
505,0.0,1,0,0,50.0,0,300000000
506,0.0,0,0,1,33.25,0,60000000
507,0.0,0,0,1,39.166668,0,60000000
508,1.0,1,0,0,41.333332,0,104000000
512,0.0,0,0,1,36.75,0,60000000
513,0.0,1,0,0,36.083332,1,60000000
514,0.0,1,0,0,32.583332,0,60000000
516,1.0,0,1,0,42.75,0,25000000
517,0.0,1,0,0,51.0,0,421000000
518,0.0,0,1,0,45.083332,0,357000000
520,0.0,1,0,0,34.0,0,60000000
524,0.0,0,1,0,50.833332,0,60000000
525,1.0,1,0,0,52.25,0,300000000
526,0.0,0,1,0,51.666668,0,500000000
527,0.0,0,1,0,67.083336,0,448000000
528,0.0,0,1,0,48.833332,0,60000000
530,0.0,0,0,1,55.416668,0,60000000
531,0.0,1,0,0,61.583332,0,60000000
532,0.0,1,0,0,52.583332,1,500000000
534,0.0,1,0,0,59.666668,0,60000000
535,0.0,0,0,1,30.416666,0,300000000
536,0.0,0,1,0,46.833332,0,286000000
537,0.0,0,1,0,41.75,0,60000000
538,1.0,0,0,1,56.416668,1,754000000
539,0.0,1,0,0,41.166668,0,1000000000
540,0.0,0,0,1,62.25,0,180000000
547,0.0,1,0,0,36.333332,0,60000000
548,0.0,0,0,1,62.666668,0,60000000
549,0.0,1,0,0,42.583332,0,286000000
550,0.0,1,0,0,49.166668,1,474000000
551,0.0,0,0,1,46.666668,1,60000000
555,1.0,1,0,0,55.0,1,60000000
556,1.0,0,1,0,43.333332,0,60000000
557,0.0,0,1,0,43.666668,0,60000000
558,0.0,0,0,1,31.75,1,60000000
559,0.0,1,0,0,34.583332,0,273000000
560,0.0,0,0,1,71.833336,0,120000000
561,0.0,0,1,0,39.833332,1,60000000
562,0.0,1,0,0,50.583332,1,60000000
564,0.0,0,1,0,42.75,0,25000000
565,0.0,0,0,1,46.25,0,60000000
567,1.0,0,1,0,58.0,1,1000000000
569,0.0,0,0,1,48.833332,0,60000000
570,0.0,0,1,0,53.083332,0,60000000
575,0.0,1,0,0,34.833332,1,60000000
576,1.0,0,0,1,53.916668,1,579000000
577,0.0,0,0,1,51.083332,1,60000000
579,0.0,0,0,1,46.416668,1,375000000
581,0.0,0,1,0,62.833332,0,700000000
583,0.0,0,1,0,51.916668,0,1000000000
584,0.0,0,0,1,56.333332,1,60000000
586,0.0,0,1,0,52.166668,0,60000000
587,0.0,1,0,0,36.416668,0,60000000
588,0.0,0,0,1,52.166668,1,60000000
589,0.0,0,1,0,44.25,0,700000000
590,0.0,0,0,1,40.166668,1,60000000
591,0.0,0,1,0,45.666668,0,195000000
593,0.0,0,1,0,34.166668,1,60000000
595,0.0,0,1,0,33.083332,0,60000000
596,0.0,0,1,0,38.5,0,650000000
597,1.0,0,0,1,44.333332,0,60000000
598,0.0,0,1,0,52.0,0,350000000
599,0.0,0,0,1,26.75,0,60000000
600,0.0,0,1,0,37.666668,1,60000000
604,0.0,0,0,1,49.166668,1,60000000
605,0.0,0,0,1,43.5,0,60000000
606,0.0,0,0,1,38.916668,0,60000000
607,0.0,0,1,0,52.833332,0,300000000
608,0.0,0,0,1,59.583332,0,60000000
609,0.0,0,0,1,49.916668,0,60000000
610,0.0,0,0,1,56.75,0,60000000
611,0.0,0,0,1,51.0,1,60000000
612,0.0,0,1,0,38.083332,0,60000000
613,0.0,0,1,0,61.583332,1,60000000
616,0.0,1,0,0,49.833332,1,195000000
617,0.0,1,0,0,47.75,0,60000000
618,0.0,0,0,1,31.666666,1,325000000
619,0.0,0,1,0,37.916668,0,500000000
621,0.0,0,1,0,40.833332,0,60000000
622,1.0,0,1,0,44.25,0,60000000
625,0.0,0,0,1,55.0,0,180000000
629,0.0,0,0,1,55.333332,0,300000000
630,0.0,0,1,0,44.25,0,300000000
631,0.0,0,1,0,46.583332,0,60000000
633,0.0,1,0,0,47.083332,1,60000000
635,0.0,0,0,1,62.416668,0,1000000000
636,0.0,0,0,1,53.25,0,60000000
637,0.0,0,0,1,58.416668,0,600000000
638,1.0,1,0,0,55.75,0,180000000
639,0.0,1,0,0,38.583332,0,195000000
640,0.0,0,1,0,45.333332,0,600000000
641,0.0,0,0,1,48.333332,0,60000000
642,0.0,0,0,1,51.833332,1,377000000
644,0.0,1,0,0,56.333332,1,500000000
645,0.0,0,0,1,40.833332,0,60000000
646,0.0,0,0,1,49.166668,0,60000000
647,1.0,0,0,1,44.0,0,60000000
649,1.0,0,0,1,53.916668,0,600000000
650,0.0,0,0,1,31.083334,0,180000000
653,0.0,0,0,1,38.333332,0,60000000
654,0.0,1,0,0,45.166668,0,390000000
661,0.0,1,0,0,56.25,0,300000000
662,1.0,0,0,1,58.916668,0,60000000
664,1.0,1,0,0,50.5,1,60000000
665,0.0,0,1,0,42.916668,0,25000000
669,0.0,0,0,1,31.5,0,60000000
670,0.0,1,0,0,43.833332,0,622000000
671,0.0,1,0,0,37.416668,0,25000000
672,0.0,0,1,0,52.25,0,60000000
674,0.0,0,0,1,66.416664,0,60000000
675,0.0,0,0,1,56.0,0,368000000
676,0.0,1,0,0,40.25,0,60000000
677,0.0,0,1,0,37.166668,0,60000000
678,0.0,0,0,1,50.416668,0,580000000
680,0.0,0,1,0,51.666668,0,60000000
681,0.0,1,0,0,66.083336,1,300000000
684,1.0,0,0,1,28.583334,0,350000000
686,0.0,1,0,0,49.25,0,180000000
687,0.0,0,0,1,46.583332,0,60000000
690,0.0,0,1,0,41.0,0,60000000
692,0.0,0,1,0,56.25,0,487000000
694,0.0,0,1,0,50.083332,1,60000000
695,0.0,0,1,0,47.166668,0,60000000
696,1.0,1,0,0,39.0,0,60000000
697,0.0,1,0,0,47.333332,1,60000000
699,0.0,1,0,0,59.083332,0,60000000
700,0.0,0,1,0,41.166668,0,25000000
701,1.0,1,0,0,41.583332,0,60000000
703,0.0,0,0,1,58.166668,0,60000000
704,0.0,0,0,1,60.583332,0,276000000
706,0.0,0,0,1,59.25,0,60000000
708,0.0,0,1,0,41.833332,0,360000000
710,0.0,0,0,1,50.583332,0,60000000
712,0.0,1,0,0,47.583332,0,60000000
713,0.0,0,1,0,43.666668,0,180000000
718,0.0,0,1,0,47.416668,0,531000000
720,1.0,0,1,0,57.0,0,60000000
722,0.0,0,1,0,56.333332,0,300000000
723,1.0,0,0,1,50.333332,0,60000000
724,1.0,0,0,1,40.666668,1,60000000
725,0.0,0,0,1,42.916668,0,65000000
726,0.0,0,1,0,39.333332,0,180000000
727,0.0,1,0,0,62.833332,0,2000000000
729,0.0,0,1,0,50.333332,0,200000000
730,0.0,0,0,1,35.583332,0,60000000
731,0.0,0,1,0,61.583332,1,900000000
732,0.0,1,0,0,40.083332,0,600000000
733,0.0,0,1,0,59.0,0,60000000
734,1.0,0,0,1,35.25,0,646000000
736,0.0,1,0,0,58.416668,1,178000000
737,1.0,0,1,0,47.416668,0,246000000
738,0.0,1,0,0,41.0,0,340000000
739,0.0,0,1,0,58.0,1,60000000
742,0.0,0,0,1,46.166668,0,12000000000
743,0.0,0,0,1,75.166664,0,180000000
744,0.0,0,0,1,38.0,0,60000000
746,0.0,0,0,1,34.0,1,564000000
747,0.0,0,0,1,37.416668,0,400000000
748,0.0,0,1,0,54.916668,0,390000000
749,0.0,1,0,0,51.583332,0,60000000
750,0.0,1,0,0,48.833332,0,325000000
752,0.0,1,0,0,55.666668,0,60000000
755,0.0,0,1,0,64.083336,0,500000000
756,0.0,0,0,1,35.916668,0,381000000
757,0.0,0,0,1,47.75,0,288000000
758,0.0,0,1,0,47.083332,1,60000000
759,0.0,0,1,0,44.333332,0,60000000
760,0.0,1,0,0,47.083332,0,60000000
761,0.0,0,1,0,49.25,1,40000000
763,0.0,1,0,0,50.5,1,60000000
764,1.0,1,0,0,32.416668,0,60000000
765,0.0,0,0,1,48.75,1,60000000
766,0.0,0,1,0,47.916668,1,60000000
767,0.0,1,0,0,52.583332,0,640000000
769,1.0,1,0,0,42.0,0,60000000
772,0.0,0,1,0,50.833332,0,1000000000
773,1.0,0,0,1,39.666668,0,60000000
774,0.0,0,1,0,42.083332,0,60000000
776,0.0,0,0,1,36.583332,1,350000000
777,0.0,1,0,0,57.583332,1,60000000
778,1.0,0,0,1,42.083332,0,60000000
779,0.0,0,0,1,53.0,0,60000000
781,0.0,0,1,0,44.833332,0,60000000
785,1.0,1,0,0,48.5,1,500000000
787,0.0,0,1,0,48.583332,0,60000000
789,0.0,0,0,1,38.416668,0,180000000
790,0.0,0,1,0,57.666668,0,60000000
793,0.0,1,0,0,49.666668,0,335000000
794,1.0,0,1,0,41.083332,1,60000000
797,0.0,0,0,1,52.583332,0,60000000
799,0.0,0,0,1,64.916664,1,60000000
801,0.0,0,1,0,52.666668,0,60000000
804,1.0,0,0,1,38.0,0,500000000
806,0.0,0,0,1,62.916668,0,60000000
807,0.0,1,0,0,58.833332,0,440000000
808,0.0,0,0,1,45.25,1,60000000
810,0.0,1,0,0,41.666668,1,300000000
811,1.0,0,0,1,64.916664,0,60000000
812,0.0,1,0,0,37.666668,0,178000000
813,0.0,0,1,0,47.0,0,60000000
818,0.0,0,1,0,27.25,0,180000000
819,0.0,0,1,0,41.083332,1,60000000
820,0.0,0,1,0,53.25,0,60000000
822,0.0,0,0,1,39.666668,1,312000000
823,0.0,1,0,0,47.666668,0,65000000
824,1.0,0,1,0,39.0,0,60000000
826,0.0,0,0,1,28.833334,0,1000000000
830,0.0,1,0,0,33.583332,0,300000000
832,1.0,0,0,1,28.75,0,766000000
833,0.0,1,0,0,42.0,0,60000000
834,0.0,0,1,0,58.333332,0,1000000000
838,1.0,0,0,1,53.166668,0,60000000
839,0.0,0,1,0,51.75,0,60000000
843,0.0,1,0,0,42.916668,0,200000000
845,0.0,1,0,0,47.666668,0,204000000
846,1.0,0,1,0,43.166668,0,60000000
847,0.0,0,0,1,55.083332,0,240000000
848,0.0,0,1,0,40.666668,0,600000000
850,0.0,0,1,0,24.25,0,60000000
851,0.0,0,1,0,43.25,0,60000000
853,0.0,1,0,0,46.166668,0,60000000
854,0.0,0,0,1,42.416668,1,25000000
858,1.0,0,0,1,35.916668,0,243000000
859,0.0,1,0,0,38.0,0,600000000
860,0.0,0,1,0,57.166668,0,60000000
861,0.0,1,0,0,43.25,0,65000000
