id;date;treatment;reported_diceroll;correct_guess;age;female;education;universitydegree;sector;employed;highincome;politicalright;believeingod;believeinfreewill;generaltrust
71;07.08.2019 15:22;Trust_promise;1;0;18;1;1;0;3;0;NA;4;1;11;5
72;07.08.2019 17:37;Control;1;1;35;1;2;0;2;1;0;5;2;10;7
73;07.08.2019 21:23;Trust_promise;2;0;63;0;4;1;2;1;1;8;2;9;8
74;07.09.2019 10:02;Control;3;0;78;1;4;1;3;0;0;9;11;6;9
75;07.09.2019 10:03;Trust_promise;1;0;48;1;2;0;2;1;1;6;1;8;6
76;07.09.2019 10:05;Trust_promise;4;0;46;1;2;0;1;1;0;11;1;10;7
77;07.09.2019 10:04;Trust_promise;3;0;29;0;3;1;1;1;0;2;1;3;7
78;07.09.2019 10:05;Control;2;0;59;1;4;1;3;0;0;2;11;11;8
79;07.09.2019 10:04;Control;3;0;24;0;3;1;1;1;0;3;1;11;8
80;07.09.2019 10:04;Trust_promise;5;0;20;1;2;0;1;1;0;6;1;5;3
81;07.09.2019 10:03;Control;5;1;50;1;3;1;1;1;NA;10;6;11;8
82;07.09.2019 10:06;Trust_promise;2;0;72;1;3;1;3;0;1;4;4;8;6
83;07.09.2019 10:10;Control;2;1;51;0;4;1;1;1;1;10;11;11;5
84;07.09.2019 10:04;Control;2;1;50;0;4;1;2;1;1;2;1;8;8
85;07.09.2019 10:05;Control;2;0;25;0;2;0;1;1;0;8;6;11;3
86;07.09.2019 10:04;Trust_promise;5;0;43;1;4;1;2;1;1;3;6;11;8
87;07.09.2019 10:12;Control;5;0;37;0;3;1;1;1;1;5;2;8;9
88;07.09.2019 10:05;Trust_promise;1;0;32;1;4;1;1;1;1;6;3;9;8
89;07.09.2019 10:04;Trust_promise;5;1;27;0;3;1;1;1;1;6;11;11;8
90;07.09.2019 10:09;Trust_promise;6;0;59;1;2;0;3;0;0;6;1;10;8
91;07.09.2019 10:08;Trust_promise;3;0;63;1;2;0;2;1;0;4;5;8;8
92;07.09.2019 10:05;Control;5;1;39;1;3;1;2;1;1;6;1;9;5
93;07.09.2019 10:06;Control;5;1;30;1;3;1;2;1;1;5;6;9;7
94;07.09.2019 10:06;Trust_promise;5;1;23;1;3;1;1;1;NA;8;6;9;6
95;07.09.2019 10:29;Trust_promise;4;0;50;0;2;0;1;1;0;8;6;11;8
96;07.09.2019 10:08;Trust_promise;3;0;48;0;2;0;1;1;1;3;6;7;8
97;07.09.2019 10:09;Control;1;1;35;1;4;1;1;1;0;2;2;11;8
98;07/22/2019 11:25;Control;6;1;37;0;6;0;2;1;1;8;11;11;8
